transaction_id,store,customer_id,customer_city,customer_gender,product_id,product_price,quantity,total,created_at
169483,Ofline store,300726,Jakarta,Male,34,1088,64,69632,06/07/2018
262286,Ofline store,186646,Tangerang,Male,34,1088,64,69632,27/08/2018
338083,Ofline store,257168,Depok,Female,34,1088,64,69632,28/09/2018
311059,Ofline store,190587,Depok,Male,34,1088,4,4352,17/09/2018
456382,Ofline store,314798,Depok,Male,34,1088,4,4352,31/10/2018
481999,Ofline store,294626,Bogor,Female,34,1088,4,4352,05/11/2018
204425,Ofline store,285696,Bogor,Female,34,1088,4,4352,27/07/2018
321799,Ofline store,141261,Depok,Male,39,1888,72,135936,21/09/2018
608465,Ofline store,417233,Bogor,Female,39,1888,72,135936,28/11/2018
277708,Ofline store,134937,Depok,Male,39,1888,72,135936,03/09/2018
776009,Ofline store,406863,Bogor,Female,39,1888,72,135936,28/12/2018
204995,Ofline store,333392,Depok,Male,39,1888,72,135936,27/07/2018
495182,Ofline store,371863,Depok,Female,39,1888,72,135936,08/11/2018
278742,Ofline store,296804,Depok,Male,39,1888,72,135936,03/09/2018
636596,Ofline store,418676,Depok,Male,39,1888,72,135936,01/12/2018
533562,Ofline store,219719,Depok,Male,39,1888,72,135936,16/11/2018
101659,Ofline store,307984,Depok,Female,39,1888,72,135936,17/05/2018
437587,Ofline store,321277,Depok,Male,39,1888,72,135936,27/10/2018
705086,Ofline store,404144,Jakarta,Male,39,1888,72,135936,10/12/2018
596164,Ofline store,416122,Depok,Female,39,1888,72,135936,27/11/2018
429226,Ofline store,182740,Depok,Female,39,1888,72,135936,26/10/2018
460641,Ofline store,272238,Depok,Male,39,1888,72,135936,01/11/2018
523406,Ofline store,319224,Jakarta,Female,39,1888,72,135936,14/11/2018
702921,Ofline store,431505,Jakarta,Female,39,1888,72,135936,09/12/2018
290315,Ofline store,320182,Jakarta,Female,39,1888,72,135936,07/09/2018
638435,Ofline store,337523,Depok,Male,39,1888,72,135936,02/12/2018
359834,Ofline store,111327,Tangerang,Male,39,1888,72,135936,06/10/2018
337654,Ofline store,332974,Depok,Female,39,1888,72,135936,28/09/2018
241427,Ofline store,293312,Depok,Male,39,1888,72,135936,13/08/2018
414497,Ofline store,136068,Jakarta,Male,39,1888,72,135936,23/10/2018
283618,Ofline store,191677,Depok,Female,39,1888,72,135936,05/09/2018
431658,Ofline store,385788,Tangerang,Female,39,1888,72,135936,26/10/2018
493054,Ofline store,347874,Bogor,Female,39,1888,72,135936,07/11/2018
315113,Ofline store,332580,Tangerang,Male,39,1888,72,135936,19/09/2018
257920,Ofline store,258841,Jakarta,Male,39,1888,72,135936,24/08/2018
234061,Ofline store,176383,Jakarta,Male,39,1888,72,135936,08/08/2018
733349,Ofline store,189720,Jakarta,Female,39,1888,72,135936,14/12/2018
239915,Ofline store,101116,Jakarta,Male,39,1888,72,135936,12/08/2018
655067,Ofline store,424649,Jakarta,Female,39,1888,72,135936,04/12/2018
549810,Ofline store,199978,Jakarta,Male,39,1888,72,135936,19/11/2018
399634,Ofline store,380990,Depok,Male,39,1888,72,135936,19/10/2018
210091,Ofline store,321523,Jakarta,Male,39,1888,72,135936,30/07/2018
247752,Ofline store,191359,Tangerang,Male,39,1888,72,135936,17/08/2018
517062,Ofline store,190358,Depok,Female,39,1888,72,135936,13/11/2018
423672,Ofline store,117916,Depok,Female,39,1888,72,135936,25/10/2018
342755,Ofline store,319967,Tangerang,Female,39,1888,72,135936,30/09/2018
724567,Ofline store,429130,Tangerang,Female,34,1088,68,73984,13/12/2018
342291,Ofline store,225704,Depok,Female,34,1088,68,73984,30/09/2018
